Signatur modern	Bd.	Signatur alt	Format	Beschreibstoff	Umfang	Größe h : b   	1. Dat. exakt	1. Dat. ex. fol.	1. Dat. ex. Fol.  von-bis	1. Dat. Ex. Von - bis	2. Dat. Exakt	2. Dat. ex. fol.	2. Dat. Ex. von-bis	3. Dat. Exakt	3. Dat. ex. fol.	4.Dat.ex	4.Dat. Ex.fol.	1. Dat. Jh. 	1. Dat.Jh. Fol./von-bis	2. Dat. Jh. 	2. Dat.Jh. Fol./von-bis	3. Dat. Jh.	3. Jh. Fol./von-bis	1. Dat. ca., um, vor, Anfang, Ende	1. Dat. ca., fol.	2. Dat. ca., um, vor, Anfang, Ende	2. Dat. ca., von-bis	2. Dat. ca., fol.	3. Dat. Ca.	3. Dat. Fol.	4. Dat. Ca.	4. Dat. Ca. fol.	1. VB natürl. Personen	1. Vorbesitz Institution	2. VB natürl. Personen	2. Vorbesitz Institution	Kommentar (fehlende Blätter …)
555		42/41	f°	Papier	I, 108	30 : 21												XIV/2																Zisterzienserstift Neuberg			
556		38/52	f°	Pergament	108	29 : 20												XV																Kartause Seitz			
557		38/56	f°	Papier	130	29 : 21																		Anfang XVI										Benediktinerstift St. Lambrecht			
558		38/58	f°	Papier	294	30 : 21	1466	294v																										Zisterzienserstift Neuberg			
559		33/18	f°	Papier	I, 260	30 : 21																		Mitte XV										Kartause Seitz			
560		34/17	f°	Papier	II, 230	32 : 20																		um 1600										Jesuitenkollegium Graz			
561		34/15	f°	Papier	75	31 : 19																		Ende XVI													
562		34/16	f°	Papier	365	31 : 21												XV/2																Chorherrenstift Seckau			
563	1	34/41	f°	Papier	VI, 152	31 : 20																		vor 1810													
563	2	34/41	f°	Papier	II, 75, 16	31 : 20																		vor 1810													
564		35/46	f°	Papier	424	31 : 21												XV/1																Zisterzienserstift Neuberg			
565*		35/57	f°	Papier	234	30 : 21												XIV/2															Marcus und Clemens beide Seckauer Chorherren	Chorherrenstift Seckau 			seit 1945 verschollen
566*		35/50	f°	Papier	412	30 : 20	1478	183v										XV/2																Jesuitenkollegium Graz			
567*		36/54	f°	Papier	139	30 : 22																		um 1400									Gabriel Hegmann	Zisterzienserstift Neuberg			
568		36/58	f°	Papier	204	30 : 21	1403	200																										Benediktinerstift St. Lambrecht			
569		36/31	f°	Papier	I, 275	30 : 21	1398	275																										Benediktinerstift St. Lambrecht			
570		34/12	f°	Papier	387	29 : 21												XV/2																Chorherrenstift Seckau			
571		34/19	f°	Papier	348	29 : 21	1419	85	2 - 85									XV/1																Chorherrenstift Seckau			1419 (fol. 2-85)
572		35/49	f°	Papier	IV, 356	30 : 21	1399	350																										Zisterzienserstift Neuberg			
573		35/48	f°	Papier	IX, 438	30 : 21	1404	433																										Jesuitenkollegium Graz			
574		35/14	f°	Papier	265	30 : 21												XV/1																Zisterzienserstift Neuberg			
575		35/55	f°	Papier	I, 276, I	31 : 21	1434	275v																										Zisterzienserstift Neuberg			
576		35/58	f°	Papier	275	30 : 22																		um 1400										Chorherrenstift Seckau			
577		35/53	f°	Papier	IV, 313	29 : 21	1443	312																										Benediktinerstift St. Lambrecht			
578		35/54	f°	Papier	325	29 : 21	1467	201v			1459	325												Mitte XV										Zisterzienserstift Neuberg			
579		35/51	f°	Papier	343	30 : 21																		um 1400										Benediktinerstift St. Lambrecht			
580		35/52	f°	Papier	322	29 : 21																		Mitte XV										Zisterzienserstift Neuberg			
581		36/81	f°	Papier	II, 344	29 : 20	1459	338v																										Chorherrenstift Seckau			
582		36/32	f°	Papier	IV, 332	30 : 21	1442	69			1442	186		1429	323			XV/1																Benediktinerstift St. Lambrecht			
583		42/9	f°	Papier	73	30 : 21	1393	30v																										Chorherrenstift Seckau			
584		42/12	f°	Papier	224, I	29 : 21												XV/2																St. Georgsritterorden Millstadt		Jesuitenkollegium Graz	
585		42/13	f°	Papier	347	29 : 21	1458	266																										Chorherrenstift Seckau			
586		37/45	f°	Papier	102	30 : 20												XV																Benediktinerstift St. Lambrecht			
587		38/46	f°	Papier	83	29 : 21	1498	74																										Zisterzienserstift Neuberg ?			
588		38/43	f°	Papier	211	29 : 21																		Anfang XVI													
589		42/33	f°	Papier	124	29 : 21	1400	124																										Zisterzienserstift Neuberg			
590		42/25	f°	Papier	I, 136	29 : 20												XIV/2																			
591		36/14	f°	Papier, Pergament 	178	30 : 21	1391	131			1399	172v																					Johannes Spieß 	Chorherrenstift Seckau			Pergament, von jeder Lage (Ternio) das äußerste Blatt
592		36/15	f°	Papier	168	30 : 21	1453	166v																										Benediktinerstift St. Lambrecht			
593		35/24	f°	Papier	375	31 : 22	1427	399v										XV/1																Zisterzienserstift Neuberg			
594		33/21	f°	Papier	227	30 : 21																		Mitte XV										Benediktinerstift St. Lambrecht			
595		35/19	f°	Papier	I, 160	31 : 21												XIV/2																Zisterzienserstift Neuberg			
596		36/66	f°	Papier	322	31 : 21	1411	321																										Zisterzienserstift Neuberg			
597		35/69	f°	Papier	199	30 : 20																		Anfang XV										Chorherrenstift Seckau			
598		33/19	f°	Papier	313	30 : 21												XV/1																Benediktinerstift St. Lambrecht			
599		36/50	f°	Papier	I, 239	29 : 21												XV/1																Benediktinerstift St. Lambrecht			
600*		36/23	f°	Papier	I, 200	29 : 22												XIV/2																Zisterzienserstift Neuberg			seit 1945 verschollen
